Timestamp;Symbol No 1;Symbol No 2;Symbol No 3;Symbol No 4
49100;-6856;13712;-6888;-6888
49200;13776;-6852;-6852;13704
49300;-6896;-6896;13792;-6928
49400;-6928;13856;-6940;-6940
49500;13880;-6984;-6984;13968
49600;-6944;-6944;13888;-7064
49700;-7064;14128;-7056;-7056
49800;14112;-7036;-7036;14072
49900;-7080;-7080;14160;-7128
50000;-7128;14256;-7196;-7196
50100;14392;-7276;-7276;14552
50200;-7244;-7244;14488;-7292
50300;-7292;14584;-7340;-7340
50400;14680;-7428;-7428;14856
50500;-7328;-7328;14656;-7380
50600;-7380;14760;-7348;-7348
50700;14696;-7380;-7380;14760
50800;-7400;-7400;14800;-7468
50900;-7468;14936;-7392;-7392
51000;14784;-7496;-7496;14992
51100;-7528;-7528;15056;-7608
51200;-7608;15216;-7588;-7588
51300;15176;-7616;-7616;15232
51400;-7740;-7740;15480;-7776
51500;-7776;15552;-7920;-7920
51600;15840;-7888;-7888;15776
51700;-8000;-8000;16000;-8068
51800;-8068;16136;-8100;-8100
51900;16200;-8652;-8652;17304
52000;-8308;-8308;16616;-8404
52100;-8404;16808;-8476;-8476
52200;16952;-8548;-8548;17096
52300;-8576;-8576;17152;-8728
52400;-8728;17456;-8772;-8772
52500;17544;-8876;-8876;17752
52600;-8996;-8996;17992;-8984
52700;-8984;17968;-9060;-9060
52800;18120;-9112;-9112;18224
52900;-9200;-9200;18400;-9148
53000;-9148;18296;-9196;-9196
53100;18392;-9320;-9320;18640
53200;-9336;-9336;18672;-9400
53300;-9400;18800;-9300;-9300
53400;18600;-9296;-9296;18592
53500;-9292;-9292;18584;-9320
53600;-9320;18640;-9228;-9228
53700;18456;-9180;-9180;18360
53800;-9160;-9160;18320;-9104
53900;-9104;18208;-9100;-9100
54000;18200;-9100;-9100;18200
54100;-9088;-9088;18176;-9108
54200;-9108;18216;-9056;-9056
54300;18112;-9060;-9060;18120
54400;-9064;-9064;18128;-9108
54500;-9108;18216;-9120;-9120
54600;18240;-9184;-9184;18368
54700;-9120;-9120;18240;-9132
54800;-9132;18264;-9252;-9252
54900;18504;-9260;-9260;18520
55000;-9360;-9360;18720;-9280
55100;-9280;18560;-9360;-9360
55200;18720;-9404;-9404;18808
55300;-9452;-9452;18904;-9508
55400;-9508;19016;-9504;-9504
55500;19008;-9516;-9516;19032
55600;-9640;-9640;19280;-9644
55700;-9644;19288;-9724;-9724
55800;19448;-9700;-9700;19400
55900;-9780;-9780;19560;-9772
56000;-9772;19544;-9924;-9924
56100;19848;-9836;-9836;19672
56200;-9860;-9860;19720;-9916
56300;-9916;19832;-9928;-9928
56400;19856;-9964;-9964;19928
56500;-10000;-10000;20000;-10016
56600;-10016;20032;-14892;-14892
56700;29784;-13428;-13428;26856
56800;-13632;-13632;27264;-13844
56900;-13844;27688;-13988;-13988
57000;27976;-14020;-14020;28040
57100;-13996;-13996;27992;-14000
57200;-14000;28000;-14028;-14028
57300;28056;-14036;-14036;28072
57400;-13964;-13964;27928;-13968
57500;-13968;27936;-14016;-14016
57600;28032;-13996;-13996;27992
57700;-14032;-14032;28064;-13900
57800;-13900;27800;-13920;-13920
